"date","description"
"1986-06-02T00:00:00.000Z","movie ""Ferris Bueller's Day Off"""
"1861-01-01T00:00:00.000Z","beginning of the Civil War"
"1953-01-01T00:00:00.000Z","discovery of the double-helix structure of DNA"
"2011-05-01T00:00:00.000Z","death of Osama bin Laden"
"1984-01-01T00:00:00.000Z","release of ""Purple Rain"""
"1903-12-18T00:00:00.000Z","Wright brothers' first flight"
"1955-01-01T00:00:00.000Z","opening of Disneyland"
"1984-01-01T00:00:00.000Z","release of ""The Terminator"""
"1985-01-01T00:00:00.000Z","movie ""The Breakfast Club"""
"1984-01-01T00:00:00.000Z","movie ""Ghostbusters"""
"1933-01-01T00:00:00.000Z","first inauguration of FDR "
"1968-04-04T00:00:00.000Z","assassination of Martin Luther King Jr"
"1977-04-30T00:00:00.000Z","release of ""Star Wars"""
"1954-01-01T00:00:00.000Z","Brown vs Board of Education decision"
"1957-01-01T00:00:00.000Z","publication of ""The Cat In The Hat"""
"1933-01-01T00:00:00.000Z","end of Prohibition"
"1999-03-31T00:00:00.000Z","release of ""The Matrix"""
"1927-01-01T00:00:00.000Z","flight of Lindbergh across Atlantic"
"2013-04-15T00:00:00.000Z","Boston Marathon bombing"
"1995-08-09T00:00:00.000Z","death of Jerry Garcia"
"1879-01-01T00:00:00.000Z","invention of the electric light bulb by Thomas Edison"
"1987-01-01T00:00:00.000Z","first episode of ""Star Trek TNG"""
"1995-04-19T00:00:00.000Z","Oklahoma City bombing"
"1975-04-30T00:00:00.000Z","Fall of Saigon"
"1995-08-24T00:00:00.000Z","release of Windows 95"
"1986-01-01T00:00:00.000Z","song Walk Like an Egyptian"
"1986-01-01T00:00:00.000Z","release of ""You Give Love a Bad Name"" (Bon Jovi)"
"1981-01-01T00:00:00.000Z","wedding of Prince Charles and Princess Di"
"1979-01-01T00:00:00.000Z","introduction of Sony Walkman"
"1974-01-15T00:00:00.000Z","start of the series ""Happy Days"""
"1852-01-01T00:00:00.000Z","publication of Uncle Tom's Cabin"
"1989-11-09T00:00:00.000Z","fall of Berlin Wall"
"1969-07-21T00:00:00.000Z","first moon landing"
"1987-06-01T00:00:00.000Z","movie ""Dirty Dancing"""
"1939-01-01T00:00:00.000Z","beginning of WWII"
"1919-01-01T00:00:00.000Z","end of WWI"
"1865-01-01T00:00:00.000Z","assassination of Lincoln"
"1982-01-01T00:00:00.000Z","start of Tom Brokaw as newscaster"
"1989-10-17T00:00:00.000Z","1989 San Francisco Earthquake"
"1981-06-01T00:00:00.000Z","release of ""Raiders of the Lost Ark"""
